"iso3c","rururb","tier","percent","cumperc","poprural","popurban"
"MMR","urban","tier3",17.9,15.2,68.859,31.141
"MMR","urban","tier4",39.8,33.1,68.859,31.141
"MMR","urban","tier5",27.2,72.9,68.859,31.141
"NER","rural","tier0",91.5,0,83.374,16.626
"NER","rural","tier1",0.5,91.5,83.374,16.626
"NER","rural","tier2",2.9,92,83.374,16.626
"NER","rural","tier3",2.2,94.9,83.374,16.626
"NER","rural","tier4",1.5,97.1,83.374,16.626
"NER","rural","tier5",1.4,98.6,83.374,16.626
"NER","urban","tier0",51.2,0,83.374,16.626
"NER","urban","tier1",0.9,51.2,83.374,16.626
"NER","urban","tier2",9.7,52.1,83.374,16.626
"NER","urban","tier3",9.4,61.8,83.374,16.626
"NER","urban","tier4",12.3,71.2,83.374,16.626
"NER","urban","tier5",16.5,83.5,83.374,16.626
"NGA","rural","tier0",73.3,0,48.042,51.958
"NGA","rural","tier1",1.8,73.3,48.042,51.958
"NGA","rural","tier2",10,75.1,48.042,51.958
"NGA","rural","tier3",12.7,85.1,48.042,51.958
"NGA","rural","tier4",2.1,97.8,48.042,51.958
"NGA","rural","tier5",0.2,99.9,48.042,51.958
"NGA","urban","tier0",24.3,0,48.042,51.958
"NGA","urban","tier1",7.4,24.3,48.042,51.958
"NGA","urban","tier2",25.9,31.7,48.042,51.958
"NGA","urban","tier3",35.6,57.6,48.042,51.958
"NGA","urban","tier4",6.2,93.2,48.042,51.958
"NGA","urban","tier5",0.7,99.4,48.042,51.958
"RWA","rural","tier0",84.4,0,82.568,17.432
"RWA","rural","tier1",3,84.4,82.568,17.432
"RWA","rural","tier2",1.8,87.4,82.568,17.432
"RWA","rural","tier3",5,89.2,82.568,17.432
"RWA","rural","tier4",3.7,94.2,82.568,17.432
"RWA","rural","tier5",2.1,97.9,82.568,17.432
"RWA","urban","tier0",22.6,0,82.568,17.432
"RWA","urban","tier1",1.9,22.6,82.568,17.432
"RWA","urban","tier2",3.7,24.5,82.568,17.432
"RWA","urban","tier3",34.5,28.2,82.568,17.432
"RWA","urban","tier4",26.3,62.7,82.568,17.432
"RWA","urban","tier5",11,89,82.568,17.432
"STP","rural","tier0",23.3,0,25.646,74.354
"STP","rural","tier1",1,23.3,25.646,74.354
"STP","rural","tier2",5.1,24.3,25.646,74.354
"STP","rural","tier3",25.4,29.4,25.646,74.354
"STP","rural","tier4",25.6,54.8,25.646,74.354
"STP","rural","tier5",19.6,80.4,25.646,74.354
"STP","urban","tier0",39.5,0,25.646,74.354
"STP","urban","tier1",0.5,39.5,25.646,74.354
"STP","urban","tier2",7.6,40,25.646,74.354
"STP","urban","tier3",19.8,47.6,25.646,74.354
"STP","urban","tier4",14.4,67.4,25.646,74.354
"STP","urban","tier5",18.2,81.8,25.646,74.354
"ZMB","rural","tier0",91.3,0,55.371,44.629
"ZMB","rural","tier1",3.5,91.3,55.371,44.629
"ZMB","rural","tier2",1,94.8,55.371,44.629
"ZMB","rural","tier3",1.2,95.8,55.371,44.629
"ZMB","rural","tier4",0.5,97,55.371,44.629
"ZMB","rural","tier5",2.4,97.5,55.371,44.629
"ZMB","urban","tier0",24.8,0,55.371,44.629
"ZMB","urban","tier1",0.6,24.8,55.371,44.629
"ZMB","urban","tier2",1.8,25.4,55.371,44.629
"ZMB","urban","tier3",16,27.2,55.371,44.629
"ZMB","urban","tier4",14.9,43.2,55.371,44.629
"ZMB","urban","tier5",41.9,58.1,55.371,44.629
