"countrycode","countryname","region","regionname","adminregion","adminregionname","incomelevel","incomelevelname","lendingtype","lendingtypename","year","sp_pop_totl","unit","GHG Emissions...14","LULUCF...15","GHG Emissions including LULUCF...16","CO2 Emissions...17","LULUCF_CO2...18","CO2 Emissions including LULUCF_CO2...19","GHG Emissions...20","LULUCF...21","GHG Emissions including LULUCF...22","CO2 Emissions...23","LULUCF_CO2...24","CO2 Emissions including LULUCF_CO2...25"
"CYP","Cyprus","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,1198574,"MtCO2e",8.539999962,-0.25,8.289999962,7.190000057,-0.25,6.940000057,7.125133669,-0.2085811973,6.916552471,5.998795283,-0.2085811973,5.790214085
"CZE","Czech Republic","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,10671870,"MtCO2e",116.5899963,-5.820000172,110.7699966,96.29000092,-5.820000172,90.47000122,10.92498281,-0.5453589832,10.37962388,9.022786158,-0.5453589832,8.477427219
"DEU","Germany","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,83092962,"MtCO2e",749.710022,-29.47999954,720.2299805,657.4000244,-29.47999954,627.9199829,9.022545399,-0.3547833515,8.667761542,7.911621016,-0.3547833515,7.556837159
"DJI","Djibouti","MEA","Middle East and North Africa","MNA","Middle East and North Africa (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,973557,"MtCO2e",1.379999995,0,1.379999995,0.4199999869,0,0.4199999869,1.417482485,0,1.417482485,0.4314077007,0,0.4314077007
"DMA","Dominica","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IDB","Blend",2019,71808,"MtCO2e",0.2300000042,-0.009999999776,0.2199999988,0.1700000018,-0.01999999955,0.150000006,3.202985798,-0.1392602464,3.063725474,2.367424267,-0.2785204929,2.088903826
"DNK","Denmark","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,5814422,"MtCO2e",43.20000076,0.8600000143,44.06000137,29.70000076,0.8500000238,30.54999924,7.429801408,0.1479080834,7.577709594,5.107988509,0.1461882237,5.254176466
"DOM","Dominican Republic","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,10738957,"MtCO2e",41.31999969,-1.559999943,39.75999832,27.22999954,-1.549999952,25.68000031,3.847673447,-0.1452654986,3.702407815,2.535627952,-0.1443343103,2.391293708
"DZA","Algeria","MEA","Middle East and North Africa","MNA","Middle East and North Africa (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,43053054,"MtCO2e",282.0100098,0.2199999988,282.230011,171.25,0.200000003,171.4499969,6.55029048,0.005109974284,6.555400483,3.977650459,0.004645431262,3.982295819
"ECU","Ecuador","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,17373657,"MtCO2e",72.52999878,26.17000008,98.69999695,39.29000092,26.14999962,65.44000244,4.174711103,1.506303484,5.681014478,2.261469817,1.50515229,3.766622217
"EGY","Egypt, Arab Rep","MEA","Middle East and North Africa","MNA","Middle East and North Africa (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,100388076,"MtCO2e",351.769989,0.1899999976,351.9599915,249.3699951,0.1800000072,249.5500031,3.504101314,0.001892655036,3.505993993,2.484059911,0.001793041707,2.485853032
"ERI","Eritrea","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,,"MtCO2e",6.329999924,0.4499999881,6.78000021,0.8799999952,0.4399999976,1.320000052,,,,,,
"ESP","Spain","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,47134837,"MtCO2e",306.9500122,-13.86999989,293.0799866,239.9799957,-13.89000034,226.0899963,6.512168743,-0.2942621799,6.217906017,5.09135092,-0.2946865042,4.796664436
"EST","Estonia","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,1326855,"MtCO2e",12.86999989,1.960000038,14.82999992,10.18000031,1.950000048,12.13000011,9.699627982,1.477177264,11.17680525,7.672277909,1.469640652,9.141918382
"ETH","Ethiopia","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,112078727,"MtCO2e",150.9600067,32.40999985,183.3699951,18.36000061,31.70999908,50.06999969,1.346910433,0.2891717341,1.636082065,0.1638134292,0.2829261175,0.4467395467
"FIN","Finland","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,5521606,"MtCO2e",51.47999954,6.940000057,58.41999817,40.70999908,6.940000057,47.65000153,9.323374312,1.256880708,10.58025476,7.372854761,1.256880708,8.6297359
"FJI","Fiji","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","UMC","Upper middle income","IDB","Blend",2019,889955,"MtCO2e",2.380000114,-2.539999962,-0.1599999964,1.629999995,-2.539999962,-0.9100000262,2.674292649,-2.854076849,-0.1797843671,1.831553275,-2.854076849,-1.02252364
"FRA","France","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,67248926,"MtCO2e",414.0400085,-61.93999863,352.1000061,300.519989,-61.99000168,238.5299988,6.156827078,-0.9210555813,5.23577144,4.468770089,-0.9217991329,3.546971126
"FSM","Micronesia, Fed Sts","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,113811,"MtCO2e",0.2599999905,-0.02999999933,0.2300000042,0.1800000072,-0.03999999911,0.1400000006,2.284489113,-0.2635949015,2.020894326,1.581569507,-0.3514598686,1.230109573
"GAB","Gabon","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,2172578,"MtCO2e",13.17000008,6.510000229,19.68000031,5.25,6.460000038,11.71000004,6.061922783,2.996440279,9.058363062,2.416484011,2.973426058,5.389910069
"GBR","United Kingdom","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,66836327,"MtCO2e",440.0799866,-10.94999981,429.1300049,348.9200134,-10.96000004,337.9599915,6.584443017,-0.1638330576,6.42061023,5.220514488,-0.1639826802,5.05653148
"GEO","Georgia","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,3720161,"MtCO2e",17.60000038,0.03999999911,17.63999939,10.10999966,0,10.10999966,4.730978144,0.01075222258,4.7417301,2.717624226,0,2.717624226
"GHA","Ghana","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,30417858,"MtCO2e",37.65000153,-24.89999962,12.75,20.04000092,-24.92000008,-4.880000114,1.23775979,-0.8185980623,0.4191616648,0.6588235409,-0.8192555859,-0.1604320763
"GIN","Guinea","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,12771246,"MtCO2e",28.32999992,12.27999973,40.61000061,3.950000048,12.22999954,16.18000031,2.218264367,0.9615349773,3.179799419,0.3092885414,0.9576199176,1.266908515
"GMB","Gambia, The","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,2347696,"MtCO2e",2.339999914,0.5199999809,2.859999895,0.5799999833,0.5299999714,1.110000014,0.9967218559,0.2214937458,1.218215602,0.2470507184,0.225753237,0.4728039807
"GNB","Guinea-Bissau","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LIC","Low income","IDX","IDA",2019,1920917,"MtCO2e",2.579999924,1.629999995,4.210000038,0.3300000131,1.49000001,1.820000052,1.343108486,0.8485530584,2.191661606,0.1717929578,0.7756712078,0.9474641811
"GNQ","Equatorial Guinea","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,1355982,"MtCO2e",11.40999985,3.829999924,15.23999977,5.349999905,3.829999924,9.180000305,8.414565863,2.824521213,11.23908708,3.945480032,2.824521213,6.770001597
"GRC","Greece","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,10721582,"MtCO2e",78.5,1.409999967,79.91000366,60,1.389999986,61.38999939,7.3216807,0.13151044,7.453191484,5.59618907,0.1296450455,5.72583406
"GRD","Grenada","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IDB","Blend",2019,112002,"MtCO2e",2.390000105,0,2.390000105,0.3300000131,0,0.3300000131,21.3389056,0,21.3389056,2.946376075,0,2.946376075
"GTM","Guatemala","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,16604026,"MtCO2e",35.09999847,3.390000105,38.49000168,19.30999947,3.269999981,22.57999992,2.113945044,0.2041673571,2.318112588,1.162970924,0.1969401867,1.35991114
"GUY","Guyana","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IDX","IDA",2019,782775,"MtCO2e",5.679999828,14.11999989,19.79999924,2.849999905,14.06999969,16.92000008,7.256235608,18.03838892,25.29462392,3.640892855,17.97451336,21.61540682
"HND","Honduras","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,9746115,"MtCO2e",22.38999939,5.75,28.13999939,10.22000027,5.519999981,15.73999977,2.29732559,0.5899786736,2.887304263,1.048622992,0.5663795247,1.615002467
"HRV","Croatia","ECS","Europe and Central Asia",,,"HIC","High income","IBD","IBRD",2019,4065253,"MtCO2e",22.26000023,-4.340000153,17.92000008,16.52000046,-4.340000153,12.18000031,5.475674018,-1.067584269,4.408089749,4.063707833,-1.067584269,2.996123564
"HTI","Haiti","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,11263079,"MtCO2e",10.5,0.6299999952,11.13000011,3.319999933,0.6299999952,3.950000048,0.9322495208,0.05593497082,0.9881845022,0.294768414,0.05593497082,0.3507033954
"HUN","Hungary","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,9771141,"MtCO2e",60.59000015,1.889999986,62.47999954,46.38000107,1.889999986,48.27000046,6.200913502,0.1934267437,6.394340184,4.74663103,0.1934267437,4.940057713
"IDN","Indonesia","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,270625567,"MtCO2e",1002.369995,957.3400269,1959.709961,619.8400269,855.3699951,1475.209961,3.703899843,3.537507699,7.241407317,2.290397148,3.160713914,5.451110837
"IND","India","SAS","South Asia","SAS","South Asia (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,1366417756,"MtCO2e",3394.870117,-31.28000069,3363.590088,2456.300049,-34.27000046,2422.030029,2.484503807,-0.02289197469,2.461611812,1.797620119,-0.02508017794,1.772539927
"IRL","Ireland","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,4934340,"MtCO2e",61.47999954,-2.799999952,58.68000031,35.75,-2.789999962,32.95999908,12.45961963,-0.5674517671,11.89216801,7.245143221,-0.5654251555,6.679717872
"IRN","Iran, Islamic Rep","MEA","Middle East and North Africa","MNA","Middle East and North Africa (excluding high income)","LMC","Lower middle income","IBD","IBRD",2019,82913893,"MtCO2e",893.7199707,0.05999999866,893.7800293,630.0100098,0.05999999866,630.0700073,10.77889288,0.000723642281,10.77961723,7.598364845,0.000723642281,7.599088458
"IRQ","Iraq","MEA","Middle East and North Africa","MNA","Middle East and North Africa (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,39309789,"MtCO2e",320.8200073,0.4900000095,321.3099976,174.5599976,0.4900000095,175.0500031,8.161326109,0.01246508877,8.17379095,4.440624129,0.01246508877,4.453089358
"ISL","Iceland","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,360563,"MtCO2e",2.849999905,-0.07999999821,2.769999981,1.639999986,-0.09000000358,1.549999952,7.904304947,-0.221875229,7.682429925,4.548442258,-0.2496096482,4.298832527
"ISR","Israel","MEA","Middle East and North Africa",,,"HIC","High income","LNX","Not classified",2019,9054000,"MtCO2e",87.18000031,0.07999999821,87.26000214,62.65000153,0.07999999821,62.72999954,9.628893341,0.00883587345,9.637729416,6.919593718,0.00883587345,6.928429373
"ITA","Italy","ECS","Europe and Central Asia",,,"HIC","High income","LNX","Not classified",2019,59729081,"MtCO2e",389,-12.81000042,376.1900024,317.2399902,-12.81999969,304.4200134,6.512740419,-0.2144683997,6.298272067,5.311315442,-0.2146358102,5.096680015
"JAM","Jamaica","LCN","Latin America and Caribbean","LAC","Latin America and Caribbean (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,2948277,"MtCO2e",9.970000267,0.1800000072,10.14999962,8.390000343,0.1800000072,8.569999695,3.381636212,0.06105261044,3.4426886,2.845730012,0.06105261044,2.9067824
"JOR","Jordan","MEA","Middle East and North Africa","MNA","Middle East and North Africa (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,10101697,"MtCO2e",36.56999969,0,36.56999969,24.62999916,0,24.62999916,3.620183786,0,3.620183786,2.438204112,0,2.438204112
"JPN","Japan","EAS","East Asia and Pacific",,,"HIC","High income","LNX","Not classified",2019,126264931,"MtCO2e",1166.51001,-32.06000137,1134.449951,1081.569946,-32.06999969,1049.5,9.238590641,-0.2539105761,8.984679611,8.565877617,-0.2539897614,8.311888279
"KAZ","Kazakhstan","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","UMC","Upper middle income","IBD","IBRD",2019,18513673,"MtCO2e",274.6700134,-2.99000001,271.6799927,212.1100006,-2.99000001,209.1199951,14.8360627,-0.1615022589,14.67455932,11.45693783,-0.1615022589,11.29543528
"KEN","Kenya","SSF","Sub-Saharan Africa","SSA","Sub-Saharan Africa (excluding high income)","LMC","Lower middle income","IDB","Blend",2019,52573967,"MtCO2e",81.01000214,-7.610000134,73.40000153,22.28000069,-7.619999886,14.65999985,1.540876726,-0.1447484481,1.396128269,0.4237838983,-0.1449386516,0.2788452286
"KGZ","Kyrgyz Republic","ECS","Europe and Central Asia","ECA","Europe and Central Asia (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,6456200,"MtCO2e",16.90999985,-3.269999981,13.64000034,10.05000019,-3.269999981,6.78000021,2.619187734,-0.5064898827,2.112697925,1.556643256,-0.5064898827,1.050153373
"KHM","Cambodia","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,16486542,"MtCO2e",40.06000137,31.70999908,71.76999664,16.18000031,29,45.18000031,2.429860754,1.923386911,4.353247433,0.98140655,1.75901047,2.74041702
"KIR","Kiribati","EAS","East Asia and Pacific","EAP","East Asia and Pacific (excluding high income)","LMC","Lower middle income","IDX","IDA",2019,117608,"MtCO2e",0.1199999973,0,0.1199999973,0.09000000358,0,0.09000000358,1.02033873,0,1.02033873,0.7652540948,0,0.7652540948
