"year","sec","top","amount"
2017,"Social Infrastructure & Services","Health",6341.2998
2017,"Social Infrastructure & Services","Population Policies/Programmes & Reproductive Health",8237.6602
2017,"Social Infrastructure & Services","Water Supply & Sanitation",5609.4102
2017,"Social Infrastructure & Services","Government & Civil Society",13217.89
2017,"Social Infrastructure & Services","Other Social Infrastructure & Services",2441.73
2017,"Economic Infrastructure & Services","Transport & Storage",11168.84
2017,"Economic Infrastructure & Services","Communications",181.78999
2017,"Economic Infrastructure & Services","Energy",7943.1299
2017,"Economic Infrastructure & Services","Banking & Financial Services",2283.1599
2017,"Economic Infrastructure & Services","Business & Other Services",1436.42
2017,"Production Sectors"," Agriculture, Forestry, Fishing",6899.5298
2017,"Production Sectors"," Industry, Mining, Construction",1435.51
2017,"Production Sectors","Trade Policies & Regulations",844.06
2017,"Production Sectors","Tourism",47.5
2017,"Multi-Sector / Cross-Cutting","General Environment Protection",3861.5701
2017,"Multi-Sector / Cross-Cutting","Other Multisector",6680.02
2017,"Commodity Aid / General Programme Assistance","General Budget Support",2528.5601
2017,"Commodity Aid / General Programme Assistance","Development Food Assistance",1188.01
2017,"Commodity Aid / General Programme Assistance","Other Commodity Assistance",162.7
2017,"Action Relating to Debt","Action Relating to Debt",670.35999
2017,"Humanitarian Aid","Emergency Response",15784.98
2017,"Humanitarian Aid","Reconstruction Relief & Rehabilitation",1068.45
2017,"Humanitarian Aid","Disaster Prevention & Preparedness",866.14001
2017,"Unallocated / Unspecified","Unallocated / Unspecified",23316.59
2016,"Social Infrastructure & Services","Education",9296.3096
2016,"Social Infrastructure & Services","Health",6802.9302
2016,"Social Infrastructure & Services","Population Policies/Programmes & Reproductive Health",8652.7197
2016,"Social Infrastructure & Services","Water Supply & Sanitation",4766.5298
2016,"Social Infrastructure & Services","Government & Civil Society",12577.96
2016,"Social Infrastructure & Services","Other Social Infrastructure & Services",2850.3501
2016,"Economic Infrastructure & Services","Transport & Storage",11571.17
2016,"Economic Infrastructure & Services","Communications",245.44
2016,"Economic Infrastructure & Services","Energy",7969.8999
2016,"Economic Infrastructure & Services","Banking & Financial Services",2032.55
2016,"Economic Infrastructure & Services","Business & Other Services",1499.0601
2016,"Production Sectors"," Agriculture, Forestry, Fishing",4936.2202
2016,"Production Sectors"," Industry, Mining, Construction",930.04999
2016,"Production Sectors","Trade Policies & Regulations",577.77002
2016,"Production Sectors","Tourism",57.07
2016,"Multi-Sector / Cross-Cutting","General Environment Protection",3496.22
2016,"Multi-Sector / Cross-Cutting","Other Multisector",9367.6699
2016,"Commodity Aid / General Programme Assistance","General Budget Support",882.07001
2016,"Commodity Aid / General Programme Assistance","Development Food Assistance",1458.5601
2016,"Commodity Aid / General Programme Assistance","Other Commodity Assistance",174.36
2016,"Action Relating to Debt","Action Relating to Debt",2570.24
2016,"Humanitarian Aid","Emergency Response",14693.62
2016,"Humanitarian Aid","Reconstruction Relief & Rehabilitation",1188.41
2016,"Humanitarian Aid","Disaster Prevention & Preparedness",628.09998
2016,"Unallocated / Unspecified","Unallocated / Unspecified",24519.26
2015,"Social Infrastructure & Services","Education",8622.8604
2015,"Social Infrastructure & Services","Health",6523.3398
2015,"Social Infrastructure & Services","Population Policies/Programmes & Reproductive Health",8454.7197
2015,"Social Infrastructure & Services","Water Supply & Sanitation",5605.5
2015,"Social Infrastructure & Services","Government & Civil Society",12730.07
2015,"Social Infrastructure & Services","Other Social Infrastructure & Services",1744.35
2015,"Economic Infrastructure & Services","Transport & Storage",9951.7002
2015,"Economic Infrastructure & Services","Communications",361.76001
2015,"Economic Infrastructure & Services","Energy",10256.56
2015,"Economic Infrastructure & Services","Banking & Financial Services",2853.5
2015,"Economic Infrastructure & Services","Business & Other Services",1295.9301
2015,"Production Sectors"," Agriculture, Forestry, Fishing",5547.54
2015,"Production Sectors"," Industry, Mining, Construction",1977.01
2015,"Production Sectors","Trade Policies & Regulations",657.31
2015,"Production Sectors","Tourism",51.59
2015,"Multi-Sector / Cross-Cutting","General Environment Protection",4184.7998
2015,"Multi-Sector / Cross-Cutting","Other Multisector",8334.6699
2015,"Commodity Aid / General Programme Assistance","General Budget Support",1263.11
2015,"Commodity Aid / General Programme Assistance","Development Food Assistance",1339.99
2015,"Commodity Aid / General Programme Assistance","Other Commodity Assistance",196.67
2015,"Action Relating to Debt","Action Relating to Debt",459.57001
2015,"Humanitarian Aid","Emergency Response",12878.75
2015,"Humanitarian Aid","Reconstruction Relief & Rehabilitation",719.89001
2015,"Humanitarian Aid","Disaster Prevention & Preparedness",577.95001
2015,"Unallocated / Unspecified","Unallocated / Unspecified",21143.721
