"iso3c","year","loss"
"BMU",2002,1
"BMU",2003,0
"BMU",2004,1
"BMU",2005,0
"BMU",2006,0
"BMU",2007,0
"BMU",2008,0
"BMU",2009,0
"BMU",2010,1
"BMU",2011,0
"BMU",2012,1
"BMU",2013,1
"BMU",2014,1
"BMU",2015,0
"BMU",2016,0
"BMU",2017,0
"BMU",2018,0
"BMU",2019,0
"BMU",2020,0
"BMU",2021,0
"BTN",2001,298
"BTN",2002,224
"BTN",2003,544
"BTN",2004,1013
"BTN",2005,770
"BTN",2006,623
"BTN",2007,508
"BTN",2008,775
"BTN",2009,1175
"BTN",2010,4354
"BTN",2011,1091
"BTN",2012,766
"BTN",2013,485
"BTN",2014,1229
"BTN",2015,747
"BTN",2016,1963
"BTN",2017,1972
"BTN",2018,1240
"BTN",2019,820
"BTN",2020,1288
"BTN",2021,1279
"BOL",2001,140321
"BOL",2002,178808
"BOL",2003,163759
"BOL",2004,203251
"BOL",2005,250748
"BOL",2006,216315
"BOL",2007,189953
"BOL",2008,369851
"BOL",2009,225270
"BOL",2010,451759
"BOL",2011,330239
"BOL",2012,273544
"BOL",2013,179823
"BOL",2014,256901
"BOL",2015,166275
"BOL",2016,470601
"BOL",2017,463194
"BOL",2018,301856
"BOL",2019,852090
"BOL",2020,429780
"BOL",2021,558393
"BES",2001,3
"BES",2002,2
"BES",2003,16
"BES",2004,0
"BES",2005,1
"BES",2006,7
"BES",2007,1
"BES",2008,1
"BES",2009,1
"BES",2010,2
"BES",2011,9
"BES",2012,3
"BES",2013,4
"BES",2014,2
"BES",2015,0
"BES",2016,0
"BES",2017,0
"BES",2018,0
"BES",2019,2
"BES",2020,10
"BES",2021,0
"BIH",2001,1496
"BIH",2002,693
"BIH",2003,308
"BIH",2004,4122
"BIH",2005,574
"BIH",2006,536
"BIH",2007,2682
"BIH",2008,1552
"BIH",2009,1296
"BIH",2010,911
"BIH",2011,971
"BIH",2012,2434
"BIH",2013,2574
"BIH",2014,1790
"BIH",2015,581
"BIH",2016,2308
"BIH",2017,1339
"BIH",2018,2674
"BIH",2019,1232
"BIH",2020,1842
"BIH",2021,1019
"BWA",2001,131
"BWA",2002,23
"BWA",2003,9
"BWA",2004,51
"BWA",2005,49
"BWA",2006,40
"BWA",2007,34
"BWA",2008,26
"BWA",2009,41
"BWA",2010,30
"BWA",2011,21
"BWA",2012,16
"BWA",2013,14
"BWA",2014,16
"BWA",2015,0
"BWA",2016,1
"BWA",2017,1
"BWA",2018,3
"BWA",2019,0
"BWA",2020,2
"BWA",2021,1
"BRA",2001,2746362
"BRA",2002,3507049
"BRA",2003,3248527
"BRA",2004,3848771
"BRA",2005,3486563
"BRA",2006,2876805
"BRA",2007,2621820
"BRA",2008,2444308
"BRA",2009,1817901
"BRA",2010,2688896
"BRA",2011,1923364
"BRA",2012,2918633
"BRA",2013,1945506
"BRA",2014,2693134
"BRA",2015,2222772
"BRA",2016,5378844
"BRA",2017,4519833
"BRA",2018,2948462
"BRA",2019,2696749
"BRA",2020,3291392
"BRA",2021,2991909
"VGB",2001,4
"VGB",2002,3
"VGB",2003,2
"VGB",2004,3
"VGB",2005,4
"VGB",2006,3
"VGB",2007,6
"VGB",2008,7
"VGB",2009,5
"VGB",2010,4
"VGB",2011,15
"VGB",2012,1
"VGB",2013,3
"VGB",2014,1
"VGB",2015,0
"VGB",2016,3
"VGB",2017,229
"VGB",2018,6
"VGB",2019,1
"VGB",2020,0
"VGB",2021,4
"BRN",2001,1244
"BRN",2002,1089
"BRN",2003,799
"BRN",2004,1197
"BRN",2005,1278
"BRN",2006,1014
"BRN",2007,1565
"BRN",2008,1300
"BRN",2009,2169
"BRN",2010,967
"BRN",2011,2620
"BRN",2012,1837
"BRN",2013,888
"BRN",2014,2225
"BRN",2015,1761
"BRN",2016,2573
"BRN",2017,945
"BRN",2018,807
"BRN",2019,1169
"BRN",2020,1166
"BRN",2021,953
"BGR",2001,8202
"BGR",2002,4639
"BGR",2003,5199
"BGR",2004,8170
"BGR",2005,6567
"BGR",2006,5171
"BGR",2007,9557
"BGR",2008,6448
"BGR",2009,6100
"BGR",2010,3569
"BGR",2011,3332
"BGR",2012,9978
"BGR",2013,3693
"BGR",2014,6689
"BGR",2015,7293
"BGR",2016,7395
"BGR",2017,7688
"BGR",2018,9754
"BGR",2019,4125
"BGR",2020,4795
"BGR",2021,6684
"BFA",2001,59
"BFA",2002,4
"BFA",2003,2
"BFA",2004,9
"BFA",2005,17
"BFA",2006,5
"BFA",2007,3
"BFA",2008,5
"BFA",2009,5
"BFA",2010,7
"BFA",2011,15
"BFA",2012,0
"BFA",2013,0
"BFA",2014,0
"BFA",2015,0
"BFA",2016,0
"BFA",2017,0
"BFA",2018,0
"BFA",2019,0
"BFA",2020,0
"BFA",2021,0
"BDI",2001,1417
"BDI",2002,987
"BDI",2003,1325
"BDI",2004,614
"BDI",2005,985
"BDI",2006,344
"BDI",2007,1862
"BDI",2008,1999
"BDI",2009,883
"BDI",2010,1905
"BDI",2011,961
"BDI",2012,871
"BDI",2013,1406
"BDI",2014,2047
"BDI",2015,1458
"BDI",2016,1576
"BDI",2017,1775
"BDI",2018,2875
"BDI",2019,2386
"BDI",2020,1857
"BDI",2021,2272
"KHM",2001,28491
"KHM",2002,54862
"KHM",2003,56840
"KHM",2004,79251
"KHM",2005,64649
"KHM",2006,80507
"KHM",2007,77676
"KHM",2008,83499
"KHM",2009,121021
"KHM",2010,237882
"KHM",2011,192155
"KHM",2012,195569
"KHM",2013,190096
"KHM",2014,161797
"KHM",2015,132701
"KHM",2016,182418
"KHM",2017,118333
"KHM",2018,113205
"KHM",2019,143307
"KHM",2020,143488
"KHM",2021,144246
"CMR",2001,39204
"CMR",2002,28767
"CMR",2003,25345
"CMR",2004,23003
"CMR",2005,25159
"CMR",2006,35986
"CMR",2007,45916
"CMR",2008,35142
"CMR",2009,36072
"CMR",2010,57992
"CMR",2011,27652
"CMR",2012,51268
"CMR",2013,84612
"CMR",2014,181851
"CMR",2015,78970
"CMR",2016,116619
"CMR",2017,187281
"CMR",2018,120814
"CMR",2019,121801
"CMR",2020,202796
"CMR",2021,168798
"CAN",2001,1358155
"CAN",2002,2316888
"CAN",2003,1607283
"CAN",2004,2706459
"CAN",2005,2920793
"CAN",2006,2406191
"CAN",2007,2117900
"CAN",2008,1949008
"CAN",2009,1550372
"CAN",2010,2104876
"CAN",2011,2160701
"CAN",2012,2545494
"CAN",2013,2807338
"CAN",2014,2643609
"CAN",2015,2733439
"CAN",2016,2084426
"CAN",2017,2559736
"CAN",2018,2142937
"CAN",2019,2175716
"CAN",2020,1195272
"CAN",2021,2524986
"CPV",2001,7
"CPV",2002,23
"CPV",2003,9
"CPV",2004,1
"CPV",2005,5
"CPV",2006,6
"CPV",2007,1
"CPV",2008,0
"CPV",2009,8
"CPV",2010,1
"CPV",2011,16
"CPV",2012,9
"CPV",2013,10
"CPV",2014,4
"CPV",2015,0
"CPV",2016,0
"CPV",2017,0
"CPV",2018,11
"CPV",2019,0
"CPV",2020,3
"CPV",2021,0
"CYM",2001,21
"CYM",2002,6
"CYM",2003,6
"CYM",2004,47
"CYM",2005,9
"CYM",2006,18
"CYM",2007,18
"CYM",2008,32
"CYM",2009,30
"CYM",2010,40
"CYM",2011,40
"CYM",2012,9
"CYM",2013,18
"CYM",2014,8
"CYM",2015,0
"CYM",2016,70
"CYM",2017,74
"CYM",2018,42
"CYM",2019,11
"CYM",2020,9
"CYM",2021,10
"CAF",2001,31282
"CAF",2002,34418
"CAF",2003,13727
"CAF",2004,14589
"CAF",2005,29317
"CAF",2006,57883
"CAF",2007,37308
"CAF",2008,31860
"CAF",2009,48253
"CAF",2010,48554
"CAF",2011,49140
"CAF",2012,57314
"CAF",2013,44182
"CAF",2014,57852
"CAF",2015,27316
"CAF",2016,51152
"CAF",2017,63910
"CAF",2018,40913
"CAF",2019,49026
"CAF",2020,55137
"CAF",2021,67181
"TCD",2001,884
"TCD",2002,1958
"TCD",2003,194
"TCD",2004,457
"TCD",2005,472
"TCD",2006,2982
"TCD",2007,1001
"TCD",2008,3402
"TCD",2009,1066
"TCD",2010,255
"TCD",2011,920
"TCD",2012,2491
"TCD",2013,2895
"TCD",2014,3001
"TCD",2015,2591
"TCD",2016,3166
"TCD",2017,6765
"TCD",2018,6932
"TCD",2019,5059
"TCD",2020,3433
"TCD",2021,5095
"CHL",2001,72711
"CHL",2002,78081
"CHL",2003,82844
"CHL",2004,85729
"CHL",2005,106926
"CHL",2006,91923
"CHL",2007,121652
"CHL",2008,123068
"CHL",2009,88567
"CHL",2010,91496
"CHL",2011,99350
"CHL",2012,174810
"CHL",2013,102243
"CHL",2014,119335
"CHL",2015,106107
"CHL",2016,113904
"CHL",2017,214837
"CHL",2018,76898
"CHL",2019,78735
"CHL",2020,70592
"CHL",2021,71610
"CHN",2001,230289
"CHN",2002,249147
"CHN",2003,261761
"CHN",2004,501541
"CHN",2005,383588
"CHN",2006,575230
"CHN",2007,652961
"CHN",2008,738029
"CHN",2009,599602
"CHN",2010,627821
"CHN",2011,598586
"CHN",2012,605001
"CHN",2013,441326
"CHN",2014,531642
"CHN",2015,490438
"CHN",2016,718685
"CHN",2017,644239
"CHN",2018,569452
"CHN",2019,496964
"CHN",2020,422213
"CHN",2021,536655
"COL",2001,230055
"COL",2002,182229
"COL",2003,122417
"COL",2004,253840
"COL",2005,188744
"COL",2006,189964
"COL",2007,269029
"COL",2008,231849
"COL",2009,237891
"COL",2010,197067
"COL",2011,189829
"COL",2012,227707
"COL",2013,138898
"COL",2014,202028
"COL",2015,140856
"COL",2016,290956
"COL",2017,424870
"COL",2018,352434
"COL",2019,268410
"COL",2020,324169
"COL",2021,265168
"COM",2001,37
"COM",2002,41
"COM",2003,27
"COM",2004,40
"COM",2005,87
"COM",2006,13
"COM",2007,78
"COM",2008,35
"COM",2009,112
"COM",2010,92
"COM",2011,123
"COM",2012,127
"COM",2013,1730
"COM",2014,1474
"COM",2015,429
"COM",2016,124
"COM",2017,308
"COM",2018,218
"COM",2019,280
"COM",2020,266
"COM",2021,165
"CRI",2001,15462
"CRI",2002,13289
"CRI",2003,8261
"CRI",2004,9767
"CRI",2005,16563
"CRI",2006,10059
"CRI",2007,11448
"CRI",2008,21875
"CRI",2009,22465
"CRI",2010,13145
"CRI",2011,10496
"CRI",2012,10367
"CRI",2013,7786
"CRI",2014,10934
"CRI",2015,3300
"CRI",2016,13791
"CRI",2017,22096
"CRI",2018,12338
"CRI",2019,11486
"CRI",2020,8261
"CRI",2021,7848
"HRV",2001,3378
"HRV",2002,2340
"HRV",2003,1739
"HRV",2004,6727
"HRV",2005,2747
"HRV",2006,2204
"HRV",2007,3237
"HRV",2008,3891
"HRV",2009,2903
"HRV",2010,3499
"HRV",2011,2919
"HRV",2012,5004
"HRV",2013,2998
"HRV",2014,4559
"HRV",2015,2669
"HRV",2016,5373
"HRV",2017,5847
"HRV",2018,8285
"HRV",2019,5978
"HRV",2020,6052
"HRV",2021,5264
"CUB",2001,18943
"CUB",2002,15036
"CUB",2003,6557
"CUB",2004,21974
"CUB",2005,12834
"CUB",2006,12305
"CUB",2007,7874
"CUB",2008,17084
"CUB",2009,16260
"CUB",2010,8608
"CUB",2011,16313
"CUB",2012,10345
"CUB",2013,6072
"CUB",2014,5861
"CUB",2015,6726
"CUB",2016,74053
"CUB",2017,76814
"CUB",2018,14955
"CUB",2019,7464
"CUB",2020,12618
"CUB",2021,9721
"CUW",2001,1
"CUW",2002,1
"CUW",2003,1
"CUW",2004,1
"CUW",2005,1
"CUW",2006,3
"CUW",2007,4
"CUW",2008,5
"CUW",2009,5
"CUW",2010,2
"CUW",2011,1
"CUW",2012,7
"CUW",2013,6
"CUW",2014,2
"CUW",2015,1
"CUW",2016,2
"CUW",2017,1
"CUW",2018,1
"CUW",2019,2
"CUW",2020,2
"CUW",2021,4
"CYP",2001,79
"CYP",2002,32
"CYP",2003,25
"CYP",2004,88
"CYP",2005,35
"CYP",2006,59
"CYP",2007,778
"CYP",2008,95
"CYP",2009,56
"CYP",2010,64
"CYP",2011,119
"CYP",2012,54
"CYP",2013,14
"CYP",2014,33
"CYP",2015,20
"CYP",2016,569
"CYP",2017,437
"CYP",2018,32
"CYP",2019,43
"CYP",2020,33
"CYP",2021,643
"CZE",2001,3460
"CZE",2002,6766
"CZE",2003,3925
"CZE",2004,13454
"CZE",2005,25560
"CZE",2006,8607
"CZE",2007,21325
"CZE",2008,16873
"CZE",2009,13514
"CZE",2010,15442
"CZE",2011,21853
"CZE",2012,14006
"CZE",2013,7659
"CZE",2014,13940
"CZE",2015,8047
"CZE",2016,22808
"CZE",2017,26512
"CZE",2018,39206
"CZE",2019,73295
"CZE",2020,100258
"CZE",2021,56293
"CIV",2001,122711
"CIV",2002,144560
"CIV",2003,86282
"CIV",2004,48048
"CIV",2005,65321
"CIV",2006,97781
"CIV",2007,90865
"CIV",2008,127555
"CIV",2009,108876
"CIV",2010,92492
"CIV",2011,124683
"CIV",2012,96129
"CIV",2013,175759
"CIV",2014,346793
"CIV",2015,152432
"CIV",2016,221100
"CIV",2017,357273
"CIV",2018,324740
"CIV",2019,242171
"CIV",2020,248502
"CIV",2021,183248
"COD",2001,455517
"COD",2002,514477
"COD",2003,274740
"COD",2004,400044
"COD",2005,485293
"COD",2006,453171
"COD",2007,462903
"COD",2008,404831
"COD",2009,635215
"COD",2010,810712
"COD",2011,429540
"COD",2012,631000
"COD",2013,920604
"COD",2014,1337961
"COD",2015,928116
"COD",2016,1381278
"COD",2017,1467957
"COD",2018,1373807
"COD",2019,1220177
"COD",2020,1309976
"COD",2021,1247857
"DNK",2001,4329
"DNK",2002,1204
"DNK",2003,1580
"DNK",2004,2414
"DNK",2005,9049
"DNK",2006,5214
"DNK",2007,4381
"DNK",2008,6061
"DNK",2009,6646
"DNK",2010,4428
"DNK",2011,3132
"DNK",2012,4452
"DNK",2013,2015
"DNK",2014,5321
"DNK",2015,2583
"DNK",2016,4656
"DNK",2017,4360
"DNK",2018,3162
"DNK",2019,9180
"DNK",2020,3194
"DNK",2021,4795
"DJI",2001,0
"DJI",2002,0
"DJI",2003,0
"DJI",2004,0
"DJI",2005,0
"DJI",2006,0
"DJI",2007,0
"DJI",2008,0
"DJI",2009,0
"DJI",2010,0
"DJI",2011,0
"DJI",2012,0
"DJI",2013,0
"DJI",2014,0
"DJI",2015,0
"DJI",2016,0
"DJI",2017,0
"DJI",2018,0
"DJI",2019,0
"DJI",2020,0
"DJI",2021,0
"DMA",2001,23
"DMA",2002,12
"DMA",2003,27
"DMA",2004,79
"DMA",2005,52
"DMA",2006,25
"DMA",2007,40
"DMA",2008,93
"DMA",2009,74
"DMA",2010,92
"DMA",2011,44
"DMA",2012,145
"DMA",2013,22
"DMA",2014,12
"DMA",2015,2
"DMA",2016,7
"DMA",2017,23291
"DMA",2018,779
"DMA",2019,59
"DMA",2020,66
"DMA",2021,30
"DOM",2001,11247
"DOM",2002,10436
"DOM",2003,10714
"DOM",2004,19388
"DOM",2005,25088
"DOM",2006,13414
"DOM",2007,16059
"DOM",2008,21612
"DOM",2009,13967
"DOM",2010,14103
"DOM",2011,12960
"DOM",2012,17906
"DOM",2013,12703
"DOM",2014,13678
"DOM",2015,15091
"DOM",2016,24907
"DOM",2017,27063
"DOM",2018,13970
"DOM",2019,14931
"DOM",2020,21441
"DOM",2021,14182
"ECU",2001,45002
"ECU",2002,29818
"ECU",2003,13836
"ECU",2004,37250
"ECU",2005,40379
"ECU",2006,35603
"ECU",2007,60540
"ECU",2008,51890
"ECU",2009,57646
"ECU",2010,33772
"ECU",2011,43630
"ECU",2012,74206
"ECU",2013,48383
"ECU",2014,30905
"ECU",2015,30078
"ECU",2016,44043
"ECU",2017,71108
"ECU",2018,38709
"ECU",2019,35646
"ECU",2020,48915
"ECU",2021,30273
"EGY",2001,148
"EGY",2002,49
"EGY",2003,61
"EGY",2004,101
"EGY",2005,53
"EGY",2006,38
"EGY",2007,78
"EGY",2008,81
"EGY",2009,60
"EGY",2010,98
"EGY",2011,103
"EGY",2012,439
"EGY",2013,97
"EGY",2014,115
"EGY",2015,32
"EGY",2016,37
"EGY",2017,58
"EGY",2018,63
"EGY",2019,21
"EGY",2020,18
"EGY",2021,18
"SLV",2001,9499
"SLV",2002,4667
"SLV",2003,5984
"SLV",2004,4555
"SLV",2005,5881
"SLV",2006,4604
"SLV",2007,2984
"SLV",2008,3325
"SLV",2009,4284
"SLV",2010,2873
"SLV",2011,3242
"SLV",2012,2536
"SLV",2013,2053
"SLV",2014,2320
"SLV",2015,2389
"SLV",2016,5744
"SLV",2017,4746
"SLV",2018,2704
"SLV",2019,2249
"SLV",2020,2208
"SLV",2021,1489
"GNQ",2001,3585
"GNQ",2002,2986
"GNQ",2003,1961
"GNQ",2004,421
"GNQ",2005,1609
"GNQ",2006,1256
"GNQ",2007,3142
"GNQ",2008,4822
"GNQ",2009,5685
"GNQ",2010,6593
"GNQ",2011,7706
"GNQ",2012,4953
"GNQ",2013,7290
"GNQ",2014,19211
"GNQ",2015,7469
"GNQ",2016,9545
"GNQ",2017,11938
"GNQ",2018,7823
"GNQ",2019,9526
"GNQ",2020,4870
"GNQ",2021,8906
"ERI",2001,3
"ERI",2002,0
"ERI",2003,0
"ERI",2004,0
"ERI",2005,0
"ERI",2006,0
"ERI",2007,0
"ERI",2008,0
"ERI",2009,0
"ERI",2010,0
"ERI",2011,0
"ERI",2012,0
"ERI",2013,0
"ERI",2014,0
"ERI",2015,0
"ERI",2016,0
"ERI",2017,0
"ERI",2018,0
"ERI",2019,0
"ERI",2020,0
"ERI",2021,0
"EST",2001,16872
"EST",2002,21918
"EST",2003,5633
"EST",2004,18106
"EST",2005,14818
"EST",2006,21732
"EST",2007,16189
"EST",2008,18297
"EST",2009,18823
"EST",2010,21496
"EST",2011,27199
"EST",2012,17685
"EST",2013,17089
"EST",2014,23577
"EST",2015,25420
"EST",2016,36335
"EST",2017,38857
"EST",2018,40038
"EST",2019,45917
"EST",2020,36805
"EST",2021,34004
"ETH",2001,11947
"ETH",2002,13074
"ETH",2003,13936
"ETH",2004,13396
"ETH",2005,15869
"ETH",2006,12076
"ETH",2007,25609
"ETH",2008,24009
"ETH",2009,29279
"ETH",2010,20184
"ETH",2011,15463
"ETH",2012,41632
"ETH",2013,30851
"ETH",2014,32725
"ETH",2015,10276
"ETH",2016,19582
"ETH",2017,35404
"ETH",2018,18894
"ETH",2019,25582
"ETH",2020,17981
