"iso3c","forests_2000","forests_2020","trend"
"MKD",37.7,39.7,5.3
"MNP",69.5,53,-23.7
"NOR",39.8,40.1,0.8
"OMN",0,0,
"PAK",5.9,4.8,-18.6
"PLW",86,90,4.7
"PAN",59.8,56.8,-5
"PNG",80.1,79.2,-1.1
"PRY",57.9,40.5,-30.1
"PER",58.8,56.5,-3.9
"PHL",24.5,24.1,-1.6
"PCN",74.5,74.5,0
"POL",29.6,31,4.7
"PRT",35.9,36.2,0.8
"PRI",48.4,56,15.7
"QAT",0,0,
"KOR",67.1,64.4,-4
"MDA",10.5,11.8,12.4
"REU",36.4,39.2,7.7
"ROU",27.7,30.1,8.7
"RUS",49.4,49.8,0.8
"RWA",11.6,11.2,-3.4
"BLM",8.5,8.5,0
"SHN",5.1,5.1,0
"KNA",42.3,42.3,0
"LCA",34.4,34,-1.2
"MAF",24.8,24.8,0
"SPM",7.3,5.3,-27.4
"VCT",73.2,73.2,0
"WSM",60.5,57.1,-5.6
"SMR",16.7,16.7,0
"STP",60.8,54.1,-11
"SAU",0.5,0.5,0
"SEN",46,41.9,-8.9
"SRB",28.1,31.1,10.7
"SYC",73.3,73.3,0
"SLE",40.6,35.1,-13.5
"SGP",25.4,21.7,-14.6
"SXM",10.9,10.9,0
"SVK",39.5,40.1,1.5
"SVN",61.2,61.5,0.5
"SLB",90.7,90.1,-0.7
"SOM",12,9.5,-20.8
"ZAF",14.7,14.1,-4.1
"SSD",11.3,11.3,0
"ESP",34.3,37.2,8.5
"LKA",34.5,34.2,-0.9
"PSE",1.5,1.7,13.3
"SDN",11.8,9.9,-16.1
"SUR",98.3,97.4,-0.9
"SJM",0,0,
"SWE",69.1,68.7,-0.6
"CHE",30.3,32.1,5.9
"SYR",2.4,2.8,16.7
"TJK",2.9,3.1,6.9
"THA",37.2,38.9,4.6
"TLS",63.8,61.9,-3
"TGO",23.3,22.2,-4.7
"TKL",0,0,
"TON",12.4,12.4,0
"TTO",46.1,44.5,-3.5
"TUN",4.3,4.5,4.7
"TUR",26.2,28.9,10.3
"TKM",8.8,8.8,0
"TCA",11.1,11.1,0
"TUV",33.3,33.3,0
"UGA",15.8,11.7,-25.9
"UKR",16.4,16.7,1.8
"ARE",4.4,4.5,2.3
"GBR",12.2,13.2,8.2
"TZA",60.6,51.6,-14.9
"USA",33.1,33.9,2.4
"VIR",58.5,56.9,-2.7
"URY",7.8,11.6,48.7
"UZB",6.8,8.4,23.5
"VUT",36.3,36.3,0
"VEN",55.7,52.4,-5.9
"VNM",37.9,46.7,23.2
"WLF",41.5,41.6,0.2
"ESH",2.5,2.5,0
"WLD",31.9,31.2,-2.2
"YEM",1,1,0
"ZMB",63.3,60.3,-4.7
"ZWE",47.5,45.1,-5.1
