"iso3c","country","date","year","type","value"
595,"TZA","Tanzania",2016,"married_by_18",30.5
596,"UGA","Uganda",2016,"married_by_18",34
597,"UKR","Ukraine",2012,"married_by_18",9.058896548
598,"URY","Uruguay",2013,"married_by_18",24.62669186
599,"VNM","Vietnam",2014,"married_by_18",10.56603565
600,"VUT","Vanuatu",2013,"married_by_18",21.38568
601,"WSM","Samoa",2020,"married_by_18",7.4
602,"YEM","Yemen, Rep.",2013,"married_by_18",31.9
603,"ZAF","South Africa",2016,"married_by_18",3.6
604,"ZMB","Zambia",2018,"married_by_18",29
605,"ZWE","Zimbabwe",2019,"married_by_18",33.6580568
