"Code","Indicator Name","Long definition","Source"
"CoNA_pov","Affordability of a nutrient adequate diet: ratio of cost to the food poverty line","The ratio of the cost of a nutrient adequate diet to the food poverty line (63% of the international poverty line of 1.90/day in 2017 USD)","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
"CoRD_pov","Affordability of a healthy diet: ratio of cost to the food poverty line","The ratio of the cost of a healthy diet to the food poverty line (63% of the international poverty line of 1.90/day in 2017 USD)","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
"CoCA_fexp","Affordability of an energy sufficient diet: ratio of cost to food expenditures","The ratio of the cost of an energy sufficient diet to observed per capita food expenditure from national accounts","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
"CoNA_fexp","Affordability of a nutrient adequate diet: ratio of cost to food expenditures","The ratio of the cost of a nutrient adequate diet to observed per capita food expenditures from national accounts","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
"CoRD_fexp","Affordability of a healthy diet: ratio of cost to food expenditures","The ratio of the cost of a healthy diet to observed per capita food expenditures from national accounts","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
"CoCA_headcount","Percent of the population who cannot afford sufficient calories","The percent of the population who cannot afford the cost of an energy sufficient diet, where the food budget is defined as 63% of income (the share low-income consumers in low-income countries spend on food); income distribution is from PovcalNet","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
"CoNA_headcount","Percent of the population who cannot afford nutrient adequacy","The percent of the population who cannot afford the cost of a nutrient adequate diet, where the food budget is defined as 63% of income (the share low-income consumers in low-income countries spend on food); income distribution is from PovcalNet","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
"CoRD_headcount","Percent of the population who cannot afford a healthy diet","The percent of the population who cannot afford the Cost of a Healthy diet, where the food budget is defined as 63% of income (the share low-income consumers in low-income countries spend on food); income distribution is from PovcalNet","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
"CoCA_unafford_n","Number of people who cannot afford sufficient calories (millions)","The number of people who cannot afford the cost of an energy sufficient diet, where the food budget is defined as 63% of income (the share low-income consumers in low-income countries spend on food); income distribution from PovcalNet","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
"CoNA_unafford_n","Number of people who cannot afford nutrient adequacy (millions)","The number of people who cannot afford the cost of a nutrient adequate diet, where the food budget is defined as 63% of income (the share low-income consumers in low-income countries spend on food); income distribution from PovcalNet","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
"CoRD_unafford_n","Number of people who cannot afford a healthy diet (millions)","The number of people who cannot afford the cost of a healthy diet, where the food budget is defined as 63% of income (the share low-income consumers in low-income countries spend on food); income distribution from PovcalNet","Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. https://doi.org/10.4060/cb2431en"
