"species","area","year","B_Bmsy","F_Fmsy","species_code","area_code"
"Black sea bass","Southern Atlantic Coast",2018,0.7129999995,0.6349999905,"Black_sea_bass","Southern_Atlantic_Coast"
"Blackgill rockfish","Southern California",2019,1.036999941,0.423999995,"Blackgill_rockfish","Southern_California"
"Blue king crab","Pribilof Islands",2021,0.04399999976,0,"Blue_king_crab","Pribilof_Islands"
"Blue king crab","Saint Matthew Island",2020,0.3350000083,0.02300000004,"Blue_king_crab","Saint_Matthew_Island"
"Blue marlin","Pacific",2021,1.172000051,0.5649999976,"Blue_marlin","Pacific"
"Blue shark","North Pacific",2017,1.717000008,0.3709999919,"Blue_shark","North_Pacific"
"Bluefish","Atlantic Coast",2021,0.474999994,0.9499999881,"Bluefish","Atlantic_Coast"
"Blueline tilefish","Southern Atlantic Coast",2017,1.055999994,0.9179999828,"Blueline_tilefish","Southern_Atlantic_Coast"
"Bocaccio","Southern Pacific Coast",2017,1.215000033,0.1099999994,"Bocaccio","Southern_Pacific_Coast"
"Brown rockfish","Pacific Coast",2013,1.06400001,0.6579999924,"Brown_rockfish","Pacific_Coast"
"Butterfish","Gulf of Maine/Cape Hatteras",2020,0.6909999847,0.2440000027,"Butterfish","Gulf_of_Maine/Cape_Hatteras"
"Cabezon","California",2009,1.20599997,0.4550000131,"Cabezon","California"
"Cabezon","Northern California",2019,1.628999949,0.5379999876,"Cabezon","Northern_California"
"Cabezon","Oregon",2019,1.32099998,0.8339999914,"Cabezon","Oregon"
"Cabezon","Southern California",2019,1.233999968,0.375,"Cabezon","Southern_California"
"California scorpionfish","Southern California",2017,1.35800004,0.4699999988,"California_scorpionfish","Southern_California"
"Canary rockfish","Pacific Coast",2021,1.427000046,0.4839999974,"Canary_rockfish","Pacific_Coast"
"Caribbean spiny lobster","Puerto Rico",2020,1.345000029,0.8320000172,"Caribbean_spiny_lobster","Puerto_Rico"
"Caribbean spiny lobster","St. Croix",2020,1.960999966,0.1819999963,"Caribbean_spiny_lobster","St._Croix"
"Caribbean spiny lobster","St. Thomas/St. John",2020,1.549000025,0.6800000072,"Caribbean_spiny_lobster","St._Thomas/St._John"
"Chilipepper","Southern Pacific Coast",2017,1.730000019,0.0540000014,"Chilipepper","Southern_Pacific_Coast"
"China rockfish","Central Pacific Coast",2019,1.536000013,0.9599999785,"China_rockfish","Central_Pacific_Coast"
"China rockfish","Northern Pacific Coast",2019,1.738000035,0.9580000043,"China_rockfish","Northern_Pacific_Coast"
"China rockfish","Southern Pacific Coast",2019,0.7889999747,0.9319999814,"China_rockfish","Southern_Pacific_Coast"
"Chinook salmon","California Central Valley: Sacramento River Fall",2021,1.095000029,0.871999979,"Chinook_salmon","California_Central_Valley:_Sacramento_River_Fall"
"Chinook salmon","Columbia River Basin: Upper River Bright Fall",2021,1.917000055,0.3840000033,"Chinook_salmon","Columbia_River_Basin:_Upper_River_Bright_Fall"
"Chinook salmon","Northern California Coast: Klamath River Fall",2021,0.7409999967,0.5920000076,"Chinook_salmon","Northern_California_Coast:_Klamath_River_Fall"
"Chinook salmon","Oregon Coast: Central and Northern Oregon",2021,1.549999952,0.8330000043,"Chinook_salmon","Oregon_Coast:_Central_and_Northern_Oregon"
"Chinook salmon","Washington Coast: Grays Harbor Fall",2021,1.307999969,0.8330000043,"Chinook_salmon","Washington_Coast:_Grays_Harbor_Fall"
"Chinook salmon","Washington Coast: Hoh Fall",2021,1.590999961,0.7220000029,"Chinook_salmon","Washington_Coast:_Hoh_Fall"
"Chinook salmon","Washington Coast: Hoko Summer/Fall",2021,2.029000044,0.67900002,"Chinook_salmon","Washington_Coast:_Hoko_Summer/Fall"
"Chinook salmon","Washington Coast: Queets Fall",2021,1.019999981,0.746999979,"Chinook_salmon","Washington_Coast:_Queets_Fall"
"Chinook salmon","Washington Coast: Quillayute Fall",2021,2.101999998,0.746999979,"Chinook_salmon","Washington_Coast:_Quillayute_Fall"
"Chinook salmon","Washington Coast: Willapa Bay Fall Natural",2021,0.8659999967,0.8330000043,"Chinook_salmon","Washington_Coast:_Willapa_Bay_Fall_Natural"
"Cobia","Gulf of Mexico",2020,0.6890000105,1.42900002,"Cobia","Gulf_of_Mexico"
"Coho salmon","Puget Sound: Hood Canal",2021,1.138000011,0.7080000043,"Coho_salmon","Puget_Sound:_Hood_Canal"
"Coho salmon","Puget Sound: Skagit",2021,0.7049999833,0.8000000119,"Coho_salmon","Puget_Sound:_Skagit"
"Coho salmon","Puget Sound: Snohomish",2021,0.699000001,0.2829999924,"Coho_salmon","Puget_Sound:_Snohomish"
"Coho salmon","Puget Sound: Stillaguamish",2021,1.235000014,0.4399999976,"Coho_salmon","Puget_Sound:_Stillaguamish"
"Coho salmon","Washington Coast: Grays Harbor",2021,1.407999992,0.6150000095,"Coho_salmon","Washington_Coast:_Grays_Harbor"
"Coho salmon","Washington Coast: Hoh",2021,1.190000057,0.8769999743,"Coho_salmon","Washington_Coast:_Hoh"
"Coho salmon","Washington Coast: Queets",2021,0.4930000007,0.8769999743,"Coho_salmon","Washington_Coast:_Queets"
"Coho salmon","Washington Coast: Quillayute Fall",2021,1.057999969,0.6269999743,"Coho_salmon","Washington_Coast:_Quillayute_Fall"
"Coho salmon","Washington Coast: Strait of Juan de Fuca",2021,0.4720000029,0.200000003,"Coho_salmon","Washington_Coast:_Strait_of_Juan_de_Fuca"
"Coho salmon","Washington Coast: Willapa Bay Natural",2021,0.8349999785,0.52700001,"Coho_salmon","Washington_Coast:_Willapa_Bay_Natural"
"Copper rockfish","Northern California",2021,0.9850000143,0.8100000024,"Copper_rockfish","Northern_California"
"Copper rockfish","Southern California",2021,0.4519999921,0.8799999952,"Copper_rockfish","Southern_California"
"Copper rockfish","Washington",2021,1.046000004,0.8360000253,"Copper_rockfish","Washington"
"Cowcod","Southern California",2019,2.855999947,0.02800000086,"Cowcod","Southern_California"
"Crimson jobfish","Main Hawaiian Islands",2018,1.269999981,0.5849999785,"Crimson_jobfish","Main_Hawaiian_Islands"
"Darkblotched rockfish","Pacific Coast",2021,1.243999958,0.425999999,"Darkblotched_rockfish","Pacific_Coast"
"Dusky rockfish","Gulf of Alaska",2021,1.79400003,0.2980000079,"Dusky_rockfish","Gulf_of_Alaska"
"Finetooth shark","Atlantic and Gulf of Mexico",2007,1.299999952,0.1000000015,"Finetooth_shark","Atlantic_and_Gulf_of_Mexico"
"Flathead sole","Bering Sea/Aleutian Islands",2021,2.076999903,0.03500000015,"Flathead_sole","Bering_Sea/Aleutian_Islands"
"Flathead sole","Gulf of Alaska",2021,2.676000118,0.04199999943,"Flathead_sole","Gulf_of_Alaska"
"Gag","Gulf of Mexico",2021,0.07999999821,2.78399992,"Gag","Gulf_of_Mexico"
"Gag","Southern Atlantic Coast",2021,0.150000006,2.147000074,"Gag","Southern_Atlantic_Coast"
"Gray snapper","Gulf of Mexico",2018,0.7039999962,1.200000048,"Gray_snapper","Gulf_of_Mexico"
"Gray triggerfish","Gulf of Mexico",2020,0.5799999833,0.6209999919,"Gray_triggerfish","Gulf_of_Mexico"
"Greater amberjack","Gulf of Mexico",2021,0.3420000076,1.725999951,"Greater_amberjack","Gulf_of_Mexico"
"Greater amberjack","Southern Atlantic Coast",2020,2.101000071,0.3950000107,"Greater_amberjack","Southern_Atlantic_Coast"
"Green jobfish","Main Hawaiian Islands",2020,2.451999903,0.57099998,"Green_jobfish","Main_Hawaiian_Islands"
"Greenland halibut","Bering Sea/Aleutian Islands",2021,1.697000027,0.3300000131,"Greenland_halibut","Bering_Sea/Aleutian_Islands"
"Greenspotted rockfish","Pacific Coast",2011,0.8629999757,0.07100000232,"Greenspotted_rockfish","Pacific_Coast"
"Greenstriped rockfish","Pacific Coast",2009,2.023000002,0.01600000076,"Greenstriped_rockfish","Pacific_Coast"
"Hogfish","Eastern Gulf of Mexico",2018,2.358999968,0.5099999905,"Hogfish","Eastern_Gulf_of_Mexico"
"Hogfish","Florida Keys/East Florida",2014,0.3829999864,1.593999982,"Hogfish","Florida_Keys/East_Florida"
"Kamchatka flounder","Bering Sea/Aleutian Islands",2021,1.52699995,0.699000001,"Kamchatka_flounder","Bering_Sea/Aleutian_Islands"
"Kelp greenling","Oregon",2015,1.99000001,0.2099999934,"Kelp_greenling","Oregon"
"King mackerel","Gulf of Mexico",2020,0.9219999909,0.824000001,"King_mackerel","Gulf_of_Mexico"
"King mackerel","Southern Atlantic Coast",2020,1.735000014,0.2899999917,"King_mackerel","Southern_Atlantic_Coast"
"Lingcod","Northern Pacific Coast",2021,1.603999972,0.2619999945,"Lingcod","Northern_Pacific_Coast"
"Lingcod","Southern Pacific Coast",2021,0.9850000143,0.351000011,"Lingcod","Southern_Pacific_Coast"
"Longnose skate","Pacific Coast",2019,2.825000048,0.4779999852,"Longnose_skate","Pacific_Coast"
"Longspine thornyhead","Pacific Coast",2019,1.81400001,0.1379999965,"Longspine_thornyhead","Pacific_Coast"
"Mutton snapper","Southern Atlantic Coast/Gulf of Mexico",2015,1.131999969,0.6499999762,"Mutton_snapper","Southern_Atlantic_Coast/Gulf_of_Mexico"
"Northern rock sole","Bering Sea/Aleutian Islands",2021,1.674000025,0.4339999855,"Northern_rock_sole","Bering_Sea/Aleutian_Islands"
"Northern rock sole","Central Gulf of Alaska",2021,1.437999964,0.3959999979,"Northern_rock_sole","Central_Gulf_of_Alaska"
"Northern rock sole","Gulf of Alaska",2020,2.325999975,0.07400000095,"Northern_rock_sole","Gulf_of_Alaska"
"Northern rock sole","Western Gulf of Alaska",2021,2.397000074,0.007000000216,"Northern_rock_sole","Western_Gulf_of_Alaska"
"Northern rockfish","Bering Sea/Aleutian Islands",2021,2.095000029,0.3289999962,"Northern_rockfish","Bering_Sea/Aleutian_Islands"
"Northern rockfish","Western/Central Gulf of Alaska",2021,1.432999969,0.4250000119,"Northern_rockfish","Western/Central_Gulf_of_Alaska"
"Ocean pout","Northwestern Atlantic Coast",2020,0.03299999982,0.6380000114,"Ocean_pout","Northwestern_Atlantic_Coast"
"Ocean quahog","Atlantic Coast",2020,1.080000043,0.2630000114,"Ocean_quahog","Atlantic_Coast"
"Pacific bluefin tuna","Pacific",2020,0.2099999934,1.090000033,"Pacific_bluefin_tuna","Pacific"
"Pacific cod","Bering Sea",2021,1.059999943,0.6679999828,"Pacific_cod","Bering_Sea"
"Pacific cod","Gulf of Alaska",2021,0.7969999909,0.1140000001,"Pacific_cod","Gulf_of_Alaska"
"Pacific hake","Pacific Coast",2021,1.480000019,0.6579999924,"Pacific_hake","Pacific_Coast"
"Pacific ocean perch","Bering Sea/Aleutian Islands",2021,1.582999945,0.8759999871,"Pacific_ocean_perch","Bering_Sea/Aleutian_Islands"
"Pacific ocean perch","Gulf of Alaska",2021,1.914000034,0.5199999809,"Pacific_ocean_perch","Gulf_of_Alaska"
"Pacific ocean perch","Pacific Coast",2017,1.916000009,0.02600000054,"Pacific_ocean_perch","Pacific_Coast"
"Petrale sole","Pacific Coast",2021,1.491000056,0.7089999914,"Petrale_sole","Pacific_Coast"
"Pollock","Gulf of Maine/Georges Bank",2019,1.703999996,0.1400000006,"Pollock","Gulf_of_Maine/Georges_Bank"
"Porbeagle","Northwestern Atlantic",2021,0.5699999928,0.4129999876,"Porbeagle","Northwestern_Atlantic"
"Quillback rockfish","California",2021,0.3519999981,1.700000048,"Quillback_rockfish","California"
"Quillback rockfish","Oregon",2021,1.047999978,1.519999981,"Quillback_rockfish","Oregon"
"Quillback rockfish","Washington",2021,0.9649999738,0.9200000167,"Quillback_rockfish","Washington"
"Red grouper","Gulf of Mexico",2021,0.8199999928,0.7839999795,"Red_grouper","Gulf_of_Mexico"
"Red grouper","Southern Atlantic Coast",2017,0.2860000134,1.539999962,"Red_grouper","Southern_Atlantic_Coast"
"Red king crab","Bristol Bay",2021,0.5770000219,0.7340000272,"Red_king_crab","Bristol_Bay"
"Red porgy","Southern Atlantic Coast",2020,0.2700000107,1.73300004,"Red_porgy","Southern_Atlantic_Coast"
"Red snapper","Gulf of Mexico",2021,0.6999999881,0.8230000138,"Red_snapper","Gulf_of_Mexico"
"Red snapper","Southern Atlantic Coast",2021,0.4399999976,2.200000048,"Red_snapper","Southern_Atlantic_Coast"
"Rex sole","Gulf of Alaska",2016,2.082000017,0.1620000005,"Rex_sole","Gulf_of_Alaska"
"Rock sole","Central Gulf of Alaska",2021,1.860999942,0.2759999931,"Rock_sole","Central_Gulf_of_Alaska"
"Rock sole","Gulf of Alaska",2020,2.323999882,0.05200000107,"Rock_sole","Gulf_of_Alaska"
"Rock sole","Western Gulf of Alaska",2021,2.190999985,0.003000000026,"Rock_sole","Western_Gulf_of_Alaska"
"Rougheye rockfish","Gulf of Alaska",2007,1.60800004,0.2969999909,"Rougheye_rockfish","Gulf_of_Alaska"
"Sablefish","Eastern Bering Sea/Aleutian Islands/Gulf of Alaska",2021,1.039000034,0.6150000095,"Sablefish","Eastern_Bering_Sea/Aleutian_Islands/Gulf_of_Alaska"
"Sablefish","Pacific Coast",2021,1.343999982,0.4040000141,"Sablefish","Pacific_Coast"
"Sandbar shark","Atlantic and Gulf of Mexico",2018,0.773999989,0.57099998,"Sandbar_shark","Atlantic_and_Gulf_of_Mexico"
"Scalloped hammerhead","Atlantic and Gulf of Mexico",2009,0.4499999881,1.289999962,"Scalloped_hammerhead","Atlantic_and_Gulf_of_Mexico"
"Scup","Atlantic Coast",2021,1.960000038,0.6800000072,"Scup","Atlantic_Coast"
"Sea scallop","Northwestern Atlantic Coast",2020,1.432999969,0.5569999814,"Sea_scallop","Northwestern_Atlantic_Coast"
"Sharpchin rockfish","Pacific Coast",2013,1.700000048,0.06100000069,"Sharpchin_rockfish","Pacific_Coast"
"Shortbelly rockfish","Pacific Coast",2007,1.667000055,0,"Shortbelly_rockfish","Pacific_Coast"
"Shortfin mako","North Pacific",2018,1.356999993,0.6150000095,"Shortfin_mako","North_Pacific"
"Shortspine thornyhead","Pacific Coast",2019,1.832000017,0.3600000143,"Shortspine_thornyhead","Pacific_Coast"
"Silky shark","Western and Central Pacific",2018,1.177999973,1.605000019,"Silky_shark","Western_and_Central_Pacific"
"Silver hake","Gulf of Maine/Northern Georges Bank",2020,2.240999937,0.0540000014,"Silver_hake","Gulf_of_Maine/Northern_Georges_Bank"
"Silver hake","Southern Georges Bank/Mid-Atlantic",2020,1.30400002,0.05600000173,"Silver_hake","Southern_Georges_Bank/Mid-Atlantic"
"Skipjack tuna","Western Atlantic",2014,1.299999952,0.6999999881,"Skipjack_tuna","Western_Atlantic"
"Skipjack tuna","Western and Central Pacific",2019,0.8790000081,0.4440000057,"Skipjack_tuna","Western_and_Central_Pacific"
"Smooth dogfish","Atlantic",2015,2.286000013,0.7910000086,"Smooth_dogfish","Atlantic"
"Snow crab","Bering Sea",2021,0.173999995,0.275000006,"Snow_crab","Bering_Sea"
"Snowy grouper","Southern Atlantic Coast",2021,0.3619999886,1.128999949,"Snowy_grouper","Southern_Atlantic_Coast"
"Southern Tanner crab","Bering Sea",2021,1.184000015,0.01899999939,"Southern_Tanner_crab","Bering_Sea"
"Spanish mackerel","Gulf of Mexico",2013,1.838000059,0.3610000014,"Spanish_mackerel","Gulf_of_Mexico"
"Spanish mackerel","Southern Atlantic Coast",2013,1.488999963,0.5220000148,"Spanish_mackerel","Southern_Atlantic_Coast"
"Spanner crab","Main Hawaiian Islands",2019,1.381999969,0.07299999893,"Spanner_crab","Main_Hawaiian_Islands"
"Spiny dogfish","Atlantic Coast",2018,0.6700000167,0.8280000091,"Spiny_dogfish","Atlantic_Coast"
"Spiny dogfish","Pacific Coast",2021,1.044999957,0.4320000112,"Spiny_dogfish","Pacific_Coast"
"Splitnose rockfish","Pacific Coast",2009,1.639000058,0.1299999952,"Splitnose_rockfish","Pacific_Coast"
"Squarespot rockfish","Pacific Coast",2021,0.9359999895,0.3880000114,"Squarespot_rockfish","Pacific_Coast"
"Striped marlin","Eastern Pacific",2010,1.194000006,0.3589999974,"Striped_marlin","Eastern_Pacific"
"Striped marlin","Western and Central North Pacific",2019,0.3959999979,0.9129999876,"Striped_marlin","Western_and_Central_North_Pacific"
"Summer flounder","Mid-Atlantic Coast",2021,0.8579999804,0.8059999943,"Summer_flounder","Mid-Atlantic_Coast"
"Swordfish","Eastern Pacific",2014,1.879999995,1.070000052,"Swordfish","Eastern_Pacific"
"Swordfish","North Atlantic",2017,1.039999962,0.7799999714,"Swordfish","North_Atlantic"
"Swordfish","Western and Central North Pacific",2018,1.870000005,0.4399999976,"Swordfish","Western_and_Central_North_Pacific"
"Thresher shark","North Pacific",2018,1.34800005,0.2099999934,"Thresher_shark","North_Pacific"
"Tilefish","Mid-Atlantic Coast",2021,0.9610000253,0.6090000272,"Tilefish","Mid-Atlantic_Coast"
"Tilefish","Southern Atlantic Coast",2021,0.9269999862,0.9470000267,"Tilefish","Southern_Atlantic_Coast"
"Vermilion rockfish","Oregon",2021,1.825000048,0.9399999976,"Vermilion_rockfish","Oregon"
"Vermilion rockfish","Washington",2021,1.409000039,0.8000000119,"Vermilion_rockfish","Washington"
"Vermilion snapper","Gulf of Mexico",2020,1.748000026,0.5559999943,"Vermilion_snapper","Gulf_of_Mexico"
"Vermilion snapper","Southern Atlantic Coast",2018,1.131000042,0.6100000143,"Vermilion_snapper","Southern_Atlantic_Coast"
"Walleye pollock","Aleutian Islands",2021,1.388000011,0.01799999923,"Walleye_pollock","Aleutian_Islands"
"Walleye pollock","Eastern Bering Sea",2021,0.7960000038,1.317000031,"Walleye_pollock","Eastern_Bering_Sea"
"Walleye pollock","Western/Central/West Yakutat Gulf of Alaska",2021,1.309999943,0.6610000134,"Walleye_pollock","Western/Central/West_Yakutat_Gulf_of_Alaska"
"White hake","Gulf of Maine/Georges Bank",2019,0.4990000129,0.7689999938,"White_hake","Gulf_of_Maine/Georges_Bank"
"Widow rockfish","Pacific Coast",2019,2.299000025,0.8539999723,"Widow_rockfish","Pacific_Coast"
"Windowpane","Southern New England/Mid-Atlantic",2020,1.5,0.7480000257,"Windowpane","Southern_New_England/Mid-Atlantic"
"Winter flounder","Georges Bank",2020,0.3560000062,0.3720000088,"Winter_flounder","Georges_Bank"
"Winter flounder","Southern New England/Mid-Atlantic",2020,0.2949999869,0.2709999979,"Winter_flounder","Southern_New_England/Mid-Atlantic"
"Wreckfish","Southern Atlantic Coast",2014,1.582999945,0.5830000043,"Wreckfish","Southern_Atlantic_Coast"
"Yelloweye rockfish","Pacific Coast",2017,0.7089999914,0.1879999936,"Yelloweye_rockfish","Pacific_Coast"
"Yellowfin sole","Bering Sea/Aleutian Islands",2021,1.899000049,1.077999949,"Yellowfin_sole","Bering_Sea/Aleutian_Islands"
"Yellowfin tuna","Atlantic",2019,1.169999957,0.9599999785,"Yellowfin_tuna","Atlantic"
"Yellowfin tuna","Eastern Pacific",2020,1.580000043,0.6499999762,"Yellowfin_tuna","Eastern_Pacific"
"Yellowfin tuna","Western and Central Pacific",2014,1.24000001,0.7200000286,"Yellowfin_tuna","Western_and_Central_Pacific"
"Yellowtail flounder","Cape Cod/Gulf of Maine",2019,0.6179999709,0.2879999876,"Yellowtail_flounder","Cape_Cod/Gulf_of_Maine"
"Yellowtail flounder","Southern New England/Mid-Atlantic",2019,0.05099999905,0.7300000191,"Yellowtail_flounder","Southern_New_England/Mid-Atlantic"
"Yellowtail rockfish","Northern Pacific Coast",2017,1.879999995,0.2939999998,"Yellowtail_rockfish","Northern_Pacific_Coast"
